Nombre de la Universidad;Rama de estudios;Nombre de la titulación;Nota de corte ordinaria del grupo 1
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería Alimentaria;7,015
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería Biomédica;12,553
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería Civil y Territorial (Moncloa);10,053
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería Civil y Territorial (Retiro);9,675
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería Electrónica Industrial y Automática;10,670
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería Electrónica de Comunicaciones;8,361
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería Eléctrica;10,450
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería Forestal;5,404
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería Geomática;6,686
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería Informática;10,175
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería Mecánica;11,867
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería Química (Castellana);11,707
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería Química (Embajadores);10,883
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería Telemática;8,540
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería de Computadores;9,311
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería de Materiales;9,561
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería de Organización;12,636
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería de Sistemas de Telecomunicación;9,186
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería de Sonido e Imagen;8,066
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería de Tecnologías y Servicios de Telecomunicación;9,408
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería de la Energía;11,039
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería de las Tecnologías de la Información Geoespacial;7,310
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería del Medio Natural;5,744
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería del Software;10,036
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería en Diseño Industrial y Desarrollo de Producto;12,461
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería en Tecnología Minera / Ing. Geológica / Ing. Mineralúrgica y Metalúrgica de las Materias Primas / Ing. en Recursos Energéticos, Combustibles y Explosivos;8,390
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería en Tecnologías Aeroespaciales;12,363
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería en Tecnologías Ambientales;6,464
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería en Tecnologías Industriales;12,114
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Ingeniería y Sistemas de datos (Campus Moncloa);11,128
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Matemáticas e Informática;11,507
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Sistemas de Información;9,080
Universidad Politécnica de Madrid;Ingeniería y Arquitectura;Tecnologías para la Sociedad de la Información;8,190
Universidad Rey Juan Carlos;Artes y Humanidades;Artes Visuales y Danza (Fuenlabrada);5,000
Universidad Rey Juan Carlos;Artes y Humanidades;Bellas Artes (Aranjuez);8,564
Universidad Rey Juan Carlos;Artes y Humanidades;Diseño Integral y Gestión de la Imagen (Aranjuez);9,846
Universidad Rey Juan Carlos;Artes y Humanidades;Diseño Integral y Gestión de la Imagen (Madrid);11,500
Universidad Rey Juan Carlos;Artes y Humanidades;Diseño y Gestión de Moda (Aranjuez);10,018
Universidad Rey Juan Carlos;Artes y Humanidades;Filosofía (Fuenlabrada);5,000
Universidad Rey Juan Carlos;Artes y Humanidades;Historia (Fuenlabrada);6,100
Universidad Rey Juan Carlos;Artes y Humanidades;Historia del Arte y Patrimonio Cultural (Aranjuez);5,000
Universidad Rey Juan Carlos;Artes y Humanidades;Lengua y Literatura Española (Fuenlabrada);5,000
Universidad Rey Juan Carlos;Artes y Humanidades;Paisajismo (Fuenlabrada);6,930
Universidad Rey Juan Carlos;Artes y Humanidades;Traducción e Interpretación (Aranjuez);5,000
Universidad Rey Juan Carlos;Artes y Humanidades;Traducción e Interpretación (Fuenlabrada);5,000
Universidad Rey Juan Carlos;Centros adscritos;Administración y Dirección de Empresas;5,000
Universidad Rey Juan Carlos;Centros adscritos;Administración y Dirección de Empresas (A distancia);5,000
Universidad Rey Juan Carlos;Centros adscritos;Administración y Dirección de Empresas - Derecho;5,000
Universidad Rey Juan Carlos;Centros adscritos;Artes Escénicas - Interpretación Audiovisual;5,000
Universidad Rey Juan Carlos;Centros adscritos;Artes Escénicas e Interpretación Audiovisual (inglés);5,000
Universidad Rey Juan Carlos;Centros adscritos;Bellas Artes;5,000
Universidad Rey Juan Carlos;Centros adscritos;Cinematografía;5,000
Universidad Rey Juan Carlos;Centros adscritos;Cinematografía (inglés);5,000
Universidad Rey Juan Carlos;Centros adscritos;Composición Musical;5,000
Universidad Rey Juan Carlos;Centros adscritos;Composición Musical (inglés);5,000
Universidad Rey Juan Carlos;Centros adscritos;Criminología;5,000
Universidad Rey Juan Carlos;Centros adscritos;Criminología - Derecho;5,000
Universidad Rey Juan Carlos;Centros adscritos;Derecho;5,000
Universidad Rey Juan Carlos;Centros adscritos;Derecho (Semipresencial);5,000
Universidad Rey Juan Carlos;Centros adscritos;Fotografía y Creación Audiovisual;5,000
Universidad Rey Juan Carlos;Centros adscritos;Marketing;5,000
Universidad Rey Juan Carlos;Centros adscritos;Protocolo, Organización de Eventos y Comunicación Corporativa;5,000
Universidad Rey Juan Carlos;Ciencias;Biología (Móstoles);9,950
Universidad Rey Juan Carlos;Ciencias;Ciencia y Tecnología de los Alimentos (Móstoles);8,149
Universidad Rey Juan Carlos;Ciencias;Ciencia y Tecnología del Agua;5,000
Universidad Rey Juan Carlos;Ciencias;Ciencias Ambientales (Móstoles);7,553
Universidad Rey Juan Carlos;Ciencias;Ciencias Experimentales (Móstoles);7,661
Universidad Rey Juan Carlos;Ciencias;Matemáticas (Móstoles);11,753
Universidad Rey Juan Carlos;Ciencias;Nanociencia y Nanotecnología (Móstoles);10,214
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Administración y Direccion de Empresas (Móstoles);8,838
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Administración y Dirección de Empresas (A Distancia) (Vicalvaro);8,140
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Administración y Dirección de Empresas (Fuenlabrada);8,714
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Administración y Dirección de Empresas (Inglés) (Vicalvaro);8,925
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Administración y Dirección de Empresas (Vicalvaro);8,450
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Ciencia Política y Gestión Pública (Fuenlabrada);7,441
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Ciencia Política y Gestión Pública (Vicalvaro);7,427
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Ciencia, Gestión e Ingeniería de Servicios (Madrid);8,080
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Ciencia, Gestión e Ingeniería de Servicios (Semipresencial) (Vicalvaro);7,200
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Ciencias de la Actividad Física y del Deporte (Fuenlabrada);10,625
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Comunicación Audiovisual (Fuenlabrada);8,560
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Comunicación Audiovisual (Vicalvaro);9,115
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Comunicación Digital (Fuenlabrada);9,138
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Contabilidad y Finanzas (A Distancia) (Vicálvaro);7,920
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Contabilidad y Finanzas (Fuenlabrada);8,300
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Contabilidad y Finanzas (Móstoles);8,288
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Contabilidad y Finanzas (Vicalvaro);9,039
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Criminología (Alcorcón);10,087
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Criminología (Vicalvaro);10,461
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Derecho (Fuenlabrada);9,166
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Derecho (Móstoles);8,889
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Derecho (Semipresencial) (Vicalvaro);8,111
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Derecho (Vicalvaro);8,723
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Dirección y Gestión de Empresas en el Ámbito Digital (Vicálvaro);9,903
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Economía (Fuenlabrada);9,078
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Economía (Inglés) (Madrid);6,989
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Economía (Móstoles);8,365
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Economía (Vicalvaro);8,475
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Economía Financiera y Actuarial (Móstoles);8,805
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Economía Financiera y Actuarial (Vicalvaro);9,564
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Educación Infantil (Fuenlabrada);9,140
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Educación Infantil (Inglés) (Vicalvaro);5,000
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Educación Infantil (Móstoles);8,910
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Educación Infantil (Semipresencial) (Vicalvaro);8,670
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Educación Primaria (Semipresencial) (Vicalvaro);9,014
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Educación Primaria y Educación Primaria mención Educación Física (Fuenlabrada);9,564
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Educación Primaria y Educación Primaria mención Educación Musical, Educación Física, Ciencias y Matemáticas (Móstoles);9,750
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Educación Primaria y Educación Primaria mención Lengua Extranjera Inglés (Vicalvaro);8,524
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Gastronomía (Aranjuez);5,000
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Inteligencia, Seguridad y Diplomacia (Madrid-Quintana);7,303
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Lengua de Signos Española y Comunidad Sorda (Alcorcón);5,000
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Lengua de Signos Española y Comunidad Sorda (Madrid-Quintana);5,000
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Marketing (Aranjuez);8,330
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Marketing (Fuenlabrada);10,199
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Marketing (Inglés) (Vicalvaro);9,458
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Marketing (Móstoles);9,728
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Marketing (Vicalvaro);10,624
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Periodismo (Fuenlabrada);7,930
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Periodismo (Semipresencial) (Fuenlabrada);7,000
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Periodismo (Vicalvaro);7,352
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Protocolo, Organización de Eventos y Com. Corporativa (Inglés) (Madrid);7,770
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Protocolo, Organización de Eventos y Com. Corporativa (Vicalvaro);9,625
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Publicidad y Relaciones Públicas (Fuenlabrada);10,311
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Publicidad y Relaciones Públicas (Semipresencial) (Fuenlabrada);8,889
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Publicidad y Relaciones Públicas (Vicalvaro);10,064
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Relaciones Internacionales (Aranjuez);10,116
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Relaciones Internacionales (Fuenlabrada);10,992
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Relaciones Internacionales (Inglés) (Vicalvaro);10,632
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Relaciones Laborales y Recursos Humanos (Alcorcón);7,540
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Relaciones Laborales y Recursos Humanos (Vicalvaro);7,328
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Trabajo Social (Alcorcón);8,710
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Turismo (Fuenlabrada);5,000
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Turismo (Inglés) (Vicalvaro);5,000
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Turismo (Semipresencial) (Vicalvaro);5,000
Universidad Rey Juan Carlos;Ciencias Sociales y Jurídicas;Turismo (Vicalvaro);5,000
Universidad Rey Juan Carlos;Ciencias de la Salud;Enfermería (Alcorcón);11,675
Universidad Rey Juan Carlos;Ciencias de la Salud;Farmacia (Alcorcón);11,778
Universidad Rey Juan Carlos;Ciencias de la Salud;Fisioterapia (Alcorcón);10,954
Universidad Rey Juan Carlos;Ciencias de la Salud;Medicina (Alcorcón);12,932
Universidad Rey Juan Carlos;Ciencias de la Salud;Odontología (Alcorcón);12,590
Universidad Rey Juan Carlos;Ciencias de la Salud;Psicología (Alcorcón);10,989
Universidad Rey Juan Carlos;Ciencias de la Salud;Terapia Ocupacional (Alcorcón);9,128
Universidad Rey Juan Carlos;Dobles Grados;ADE (A distancia) (Vicálvaro) - Ciencia, Gestión e Ingeniería de Servicios (Presencial) (Madrid);8,200
Universidad Rey Juan Carlos;Dobles Grados;ADE (Presencial) - Ciencia, Gestión e Ingeniería de Servicios (Semipresencial) (Vicalvaro);10,239
Universidad Rey Juan Carlos;Dobles Grados;Administración y Dirección de Empresas - Derecho (Fuenlabrada);7,636
Universidad Rey Juan Carlos;Dobles Grados;Administración y Dirección de Empresas - Derecho (Madrid);8,536
Universidad Rey Juan Carlos;Dobles Grados;Administración y Dirección de Empresas - Derecho (Móstoles);8,461
Universidad Rey Juan Carlos;Dobles Grados;Administración y Dirección de Empresas - Derecho (Vicalvaro);9,289
Universidad Rey Juan Carlos;Dobles Grados;Administración y Dirección de Empresas - Marketing (Vicálvaro);12,014
Universidad Rey Juan Carlos;Dobles Grados;Bellas Artes (Presencial) (Aranjuez) - Turismo (Semipresencial) (Vicalvaro);8,461
Universidad Rey Juan Carlos;Dobles Grados;Bellas Artes - Diseño Integral y Gestión de la Imagen (Aranjuez);11,685
Universidad Rey Juan Carlos;Dobles Grados;Ciencia Política y Gestión Pública - Derecho (Fuenlabrada);8,903
Universidad Rey Juan Carlos;Dobles Grados;Ciencia Política y Gestión Pública - Derecho (Vicalvaro);9,937
Universidad Rey Juan Carlos;Dobles Grados;Ciencia Política y Gestión Pública - Economía (Fuenlabrada);8,189
Universidad Rey Juan Carlos;Dobles Grados;Ciencia Política y Gestión Pública - Economía (Vicalvaro);10,025
Universidad Rey Juan Carlos;Dobles Grados;Ciencia Política y Gestión Pública - Periodismo (Fuenlabrada);8,775
Universidad Rey Juan Carlos;Dobles Grados;Ciencia Política y Gestión Pública - Periodismo (Vicalvaro);10,164
Universidad Rey Juan Carlos;Dobles Grados;Ciencia, Gestión e Ingeniería de Servicios (Semipresencial) - Marketing (Presencial) (Vicalvaro);10,161
Universidad Rey Juan Carlos;Dobles Grados;Ciencia, Gestión e Ingeniería de Servicios (Semipresencial) - Turismo (Presencial) (Vicalvaro);6,431
Universidad Rey Juan Carlos;Dobles Grados;Comunicación Audiovisual - ADE (Fuenlabrada);8,339
Universidad Rey Juan Carlos;Dobles Grados;Contabilidad y Finanzas - Relaciones Laborales y RR.HH. (Vicalvaro);9,389
Universidad Rey Juan Carlos;Dobles Grados;Criminología - Derecho (Vicalvaro);12,433
Universidad Rey Juan Carlos;Dobles Grados;Criminología - Ingeniería Informática (Vicalvaro);10,867
Universidad Rey Juan Carlos;Dobles Grados;Criminología - Psicología (Alcorcón);12,314
Universidad Rey Juan Carlos;Dobles Grados;Criminología - Trabajo Social (Alcorcón);10,500
Universidad Rey Juan Carlos;Dobles Grados;Derecho (Semipresencial) - Relac. Internac. (Inglés) (Presencial) (Vicalvaro);12,330
Universidad Rey Juan Carlos;Dobles Grados;Derecho - Periodismo (Vicalvaro);11,378
Universidad Rey Juan Carlos;Dobles Grados;Derecho - Relaciones Internacionales (Fuenlabrada);13,161
Universidad Rey Juan Carlos;Dobles Grados;Derecho - Relaciones Internacionales (Inglés) (Vicálvaro);13,061
Universidad Rey Juan Carlos;Dobles Grados;Derecho - Relaciones Laborales y Recursos Humanos (Vicalvaro);9,025
Universidad Rey Juan Carlos;Dobles Grados;Diseño y Desarrollo de Videojuegos - Ing. de Computadores (Móstoles);11,102
Universidad Rey Juan Carlos;Dobles Grados;Diseño y Gestión de Moda - Bellas Artes (Aranjuez);11,503
Universidad Rey Juan Carlos;Dobles Grados;Diseño y Gestión de Moda - Diseño Integral y Gest de la Imagen (Aranjuez);10,690
Universidad Rey Juan Carlos;Dobles Grados;Economía - Derecho (Fuenlabrada);10,475
Universidad Rey Juan Carlos;Dobles Grados;Economía - Derecho (Móstoles);11,078
Universidad Rey Juan Carlos;Dobles Grados;Economía - Derecho (Vicalvaro);11,728
Universidad Rey Juan Carlos;Dobles Grados;Economía - Historia (Fuenlabrada);6,689
Universidad Rey Juan Carlos;Dobles Grados;Economía - Matemáticas (Móstoles);12,489
Universidad Rey Juan Carlos;Dobles Grados;Economía - Periodismo (Vicalvaro);10,403
Universidad Rey Juan Carlos;Dobles Grados;Economía Financiera y Actuarial - ADE (Móstoles);11,153
Universidad Rey Juan Carlos;Dobles Grados;Economía Financiera y Actuarial - ADE (Vicalvaro);11,287
Universidad Rey Juan Carlos;Dobles Grados;Economía Financiera y Actuarial - Economía (Móstoles);10,036
Universidad Rey Juan Carlos;Dobles Grados;Economía Financiera y Actuarial - Economía (Vicalvaro);10,378
Universidad Rey Juan Carlos;Dobles Grados;Educación Infantil - Educación Primaria (Fuenlabrada);11,961
Universidad Rey Juan Carlos;Dobles Grados;Filosofía - Ciencia Política y Gestión Pública (Fuenlabrada);5,000
Universidad Rey Juan Carlos;Dobles Grados;Filosofía - Economía (Fuenlabrada);5,000
Universidad Rey Juan Carlos;Dobles Grados;Fundamentos de la Arquitectura - Paisajismo (Fuenlabrada);10,185
Universidad Rey Juan Carlos;Dobles Grados;Historia (Presencial) (Fuenlabrada) - Turismo (Semipresencial) (Vicálvaro);5,000
Universidad Rey Juan Carlos;Dobles Grados;Historia - Turismo (Fuenlabrada);5,000
Universidad Rey Juan Carlos;Dobles Grados;Ingeniería Ambiental - Ingeniería en Organización Industrial (Móstoles);9,903
Universidad Rey Juan Carlos;Dobles Grados;Ingeniería Informática (Presencial) - Administración y Dirección de Empresas (A distancia) (Vicalvaro);10,589
Universidad Rey Juan Carlos;Dobles Grados;Ingeniería Informática - ADE (Móstoles);11,678
Universidad Rey Juan Carlos;Dobles Grados;Ingeniería Informática - Ingeniería de Computadores (Móstoles);9,849
Universidad Rey Juan Carlos;Dobles Grados;Ingeniería Informática - Ingeniería del Software (Móstoles);11,323
Universidad Rey Juan Carlos;Dobles Grados;Ingeniería Informática - Matemáticas (Móstoles);13,089
Universidad Rey Juan Carlos;Dobles Grados;Ingeniería Química - Ingeniería Ambiental (Móstoles);10,439
Universidad Rey Juan Carlos;Dobles Grados;Ingeniería Química - Ingeniería de la Energía (Móstoles);10,825
Universidad Rey Juan Carlos;Dobles Grados;Ingeniería Química - Ingeniería en Organización Industrial (Móstoles);11,103
Universidad Rey Juan Carlos;Dobles Grados;Ingeniería de Materiales - Ingeniería de la Energía (Móstoles);9,914
Universidad Rey Juan Carlos;Dobles Grados;Ingeniería de Materiales - Ingeniería en Organización Industrial (Móstoles);10,478
Universidad Rey Juan Carlos;Dobles Grados;Ingeniería de la Energia - Ingeniería en Organización Industrial (Móstoles);10,814
Universidad Rey Juan Carlos;Dobles Grados;Ingeniería de la Energía - Ingeniería Ambiental (Móstoles);10,373
Universidad Rey Juan Carlos;Dobles Grados;Ingeniería del Software - Matemáticas (Móstoles);12,604
Universidad Rey Juan Carlos;Dobles Grados;Ingeniería en Tecnología de Telecomunicación (Mención Sistema de Telecomunicación) - Ingeniería Aeroespacial (Mención Aeronavegación);12,089
Universidad Rey Juan Carlos;Dobles Grados;Periodismo - Comunicación Audiovisual (Fuenlabrada);8,936
Universidad Rey Juan Carlos;Dobles Grados;Periodismo - Comunicación Audiovisual (Vicalvaro);8,553
Universidad Rey Juan Carlos;Dobles Grados;Publicidad y Relaciones Públicas - ADE (Fuenlabrada);10,046
Universidad Rey Juan Carlos;Dobles Grados;Publicidad y Relaciones Públicas - Marketing (Fuenlabrada);12,329
Universidad Rey Juan Carlos;Dobles Grados;Relaciones Internacionales (inglés) - Protocolo, Organización de Eventos y Comunicación Corporativa (Vicalvaro);12,369
Universidad Rey Juan Carlos;Dobles Grados;Relaciones Internacionales - Ciencia Política y Gestión Pública (Fuenlabrada);12,267
Universidad Rey Juan Carlos;Dobles Grados;Relaciones Internacionales - Economia (Fuenlabrada);11,492
Universidad Rey Juan Carlos;Dobles Grados;Relaciones Internacionales - Periodismo (Fuenlabrada);12,216
Universidad Rey Juan Carlos;Dobles Grados;Relaciones Laborales y RR.HH - Trabajo Social (Alcorcón);8,760
Universidad Rey Juan Carlos;Dobles Grados;Turismo (Semipresencial) - Marketing (Presencial) (Vicálvaro);9,289
Universidad Rey Juan Carlos;Dobles Grados;Turismo - Administración y Dirección de Empresas (Fuenlabrada);5,000
Universidad Rey Juan Carlos;Dobles Grados;Turismo - Administración y Dirección de Empresas (Vicalvaro);7,653
Universidad Rey Juan Carlos;Dobles Grados;Turismo - Marketing (Vicalvaro);10,177
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ciencia e Ingeniería de Datos (Fuenlabrada);10,403
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Diseño y Desarrollo de Videojuegos (Madrid);9,489
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Diseño y Desarrollo de Videojuegos (Móstoles);9,404
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Fundamentos de la Arquitectura (Fuenlabrada);10,428
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería Aeroespacial (Fuenlabrada);12,114
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería Ambiental (Móstoles);7,848
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería Biomédica (Fuenlabrada);12,339
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería Biomédica (inglés) (Fuenlabrada);12,139
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería Electrónica Industrial y Automática (Móstoles);10,075
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería Informática (Móstoles);10,503
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería Informática (Vicalvaro);10,036
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería Mecánica (Móstoles);11,378
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería Química (Móstoles);10,481
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería de Computadores (Móstoles);9,186
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería de Materiales (Móstoles);9,525
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería de Robótica Software (Fuenlabrada);9,814
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería de la Ciberseguridad (Móstoles);10,803
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería de la Energía (Móstoles);10,040
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería del Software (Móstoles);9,986
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería en Organización Industrial (Móstoles);11,257
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería en Organización Industrial (Vicalvaro);10,950
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería en Tecnologías Industriales (Móstoles);10,952
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Ingeniería en Tecnologías de la Telecomunicación (Fuenlabrada);8,150
Universidad Rey Juan Carlos;Ingeniería y Arquitectura;Inteligencia Artificial (Móstoles);10,428
Universidad de Alcalá;Artes y Humanidades;Estudios Hispánicos;5,000
Universidad de Alcalá;Artes y Humanidades;Estudios Ingleses;6,864
Universidad de Alcalá;Artes y Humanidades;Historia;5,710
Universidad de Alcalá;Artes y Humanidades;Humanidades;5,000
Universidad de Alcalá;Artes y Humanidades;Lenguas Modernas y Traducción;5,659
Universidad de Alcalá;Artes y Humanidades;Lenguas Modernas y Traducción (Guadalajara);5,000
Universidad de Alcalá;Centros adscritos;Educación Social;5,000
Universidad de Alcalá;Centros adscritos;Magisterio de Educación Infantil;5,336
Universidad de Alcalá;Centros adscritos;Magisterio de Educación Infantil (bilingüe) (docencia en inglés);5,000
Universidad de Alcalá;Centros adscritos;Magisterio de Educación Infantil (semipresencial);5,000
Universidad de Alcalá;Centros adscritos;Magisterio de Educación Primaria;7,140
Universidad de Alcalá;Centros adscritos;Magisterio de Educación Primaria (Semipresencial);5,000
Universidad de Alcalá;Centros adscritos;Magisterio de Educación Primaria (bilingüe) (docencia en inglés);5,000
Universidad de Alcalá;Centros adscritos;Psicología;9,199
Universidad de Alcalá;Ciencias;Biología;9,700
Universidad de Alcalá;Ciencias;Ciencias Ambientales;7,106
Universidad de Alcalá;Ciencias;Criminalística: Ciencias y Tecnologías Forenses;11,636
Universidad de Alcalá;Ciencias;Física e Instrumentación Espacial;11,830
Universidad de Alcalá;Ciencias;Química;9,864
Universidad de Alcalá;Ciencias Sociales y Jurídicas;Administración y Dirección de Empresas;9,225
Universidad de Alcalá;Ciencias Sociales y Jurídicas;Administración y Dirección de Empresas (Guadalajara);7,882
Universidad de Alcalá;Ciencias Sociales y Jurídicas;Comunicación Audiovisual (Guadalajara);7,890
Universidad de Alcalá;Ciencias Sociales y Jurídicas;Derecho;8,328
Universidad de Alcalá;Ciencias Sociales y Jurídicas;Economía;7,664
Universidad de Alcalá;Ciencias Sociales y Jurídicas;Economía y Negocios Internacionales;11,203
Universidad de Alcalá;Ciencias Sociales y Jurídicas;Economía y Negocios Internaciones (docencia en inglés);10,428
Universidad de Alcalá;Ciencias Sociales y Jurídicas;Finanzas;7,541
Universidad de Alcalá;Ciencias Sociales y Jurídicas;Magisterio de Educación Infantil (Guadalajara);8,253
