Nombre de la Universidad;Rama de estudios;Nombre de la titulación;Nota de corte ordinaria del grupo 1
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Maestro en Educación Primaria;9,939
Universidad Autónoma de Madrid;Ciencias Sociales y Jurídicas;Turismo;5,000
Universidad Autónoma de Madrid;Ciencias de la Salud;Enfermería (Facultad Medicina UAM);11,714
Universidad Autónoma de Madrid;Ciencias de la Salud;Medicina;12,978
Universidad Autónoma de Madrid;Ciencias de la Salud;Nutrición Humana y Dietética;10,003
Universidad Autónoma de Madrid;Ciencias de la Salud;Psicología;10,426
Universidad Autónoma de Madrid;Dobles Grados;Ciencias Ambientales - Geografía, Geotecnologías y Sostenibilidad Territorial;6,580
Universidad Autónoma de Madrid;Dobles Grados;Derecho - Administración y Dirección de Empresas;10,928
Universidad Autónoma de Madrid;Dobles Grados;Derecho - Ciencia Política y Administración Pública;8,911
Universidad Autónoma de Madrid;Dobles Grados;Estudios Internacionales - Estudios de Asia y África (árabe);10,336
Universidad Autónoma de Madrid;Dobles Grados;Filosofía - Historia;12,264
Universidad Autónoma de Madrid;Dobles Grados;Filosofía - Historia y CC. de la Música y Tecnología Musical;5,000
Universidad Autónoma de Madrid;Dobles Grados;Historia - Estudios Internacionales;12,964
Universidad Autónoma de Madrid;Dobles Grados;Historia del Arte - Estudios Clásicos y de la Antigüedad;5,000
Universidad Autónoma de Madrid;Dobles Grados;Historia del Arte - Historia;12,513
Universidad Autónoma de Madrid;Dobles Grados;Ingeniería Informática - Matemáticas;13,136
Universidad Autónoma de Madrid;Dobles Grados;Maestro en Educación Infantil - Maestro en Educación Primaria;10,278
Universidad Autónoma de Madrid;Dobles Grados;Nutrición Humana y Dietética - Ciencia y Tecnología de los Alimentos;10,870
Universidad Autónoma de Madrid;Dobles Grados;Traducción e Interpretación (Francés) - Lenguas Modernas, Cultura y Comunicación (Francés);5,790
Universidad Autónoma de Madrid;Grados conjuntos;Ciencia, Tecnología y Humanidades (UAB, UAM y UC3M);5,000
Universidad Autónoma de Madrid;Grados conjuntos;Ciencias (UAB, UAM y UC3M);7,700
Universidad Autónoma de Madrid;Grados conjuntos;Filosofia, Política y Economía (UAB, UAM, UC3M y UPF);11,820
Universidad Autónoma de Madrid;Ingeniería y Arquitectura;Ciencia e Ingeniería de Datos;11,311
Universidad Autónoma de Madrid;Ingeniería y Arquitectura;Ingeniería Biomédica;12,500
Universidad Autónoma de Madrid;Ingeniería y Arquitectura;Ingeniería Informática;10,715
Universidad Autónoma de Madrid;Ingeniería y Arquitectura;Ingeniería Química;10,528
Universidad Autónoma de Madrid;Ingeniería y Arquitectura;Ingeniería de Tecnologías de Telecomunicación;9,560
Universidad Autónoma de Madrid;Ingeniería y Arquitectura;PARS-IA en Master en Ingeniería informática vía Grado en Ingeniería Informática;11,711
Universidad Autónoma de Madrid;Ingeniería y Arquitectura;PARS-IA en Máster en Ingeniería de Telecomunicación vía grado en Ingeniería de Tecnologías de Telecomunicación;10,667
Universidad Carlos III de Madrid;Artes y Humanidades;Estudios Culturales (bilingüe);5,000
Universidad Carlos III de Madrid;Artes y Humanidades;Humanidades digitales;5,000
Universidad Carlos III de Madrid;Ciencias;Neurociencia (en inglés);13,100
Universidad Carlos III de Madrid;Ciencias Sociales y Jurídicas;Administración de Empresas (Colmenarejo);10,970
Universidad Carlos III de Madrid;Ciencias Sociales y Jurídicas;Administración de Empresas (español o inglés);11,516
Universidad Carlos III de Madrid;Ciencias Sociales y Jurídicas;Análisis de datos para la Empresa;11,567
Universidad Carlos III de Madrid;Ciencias Sociales y Jurídicas;Ciencias Políticas (español o bilingüe);9,542
Universidad Carlos III de Madrid;Ciencias Sociales y Jurídicas;Comunicación Audiovisual (español o bilingüe);10,109
Universidad Carlos III de Madrid;Ciencias Sociales y Jurídicas;Derecho;11,561
Universidad Carlos III de Madrid;Ciencias Sociales y Jurídicas;Derecho (Colmenarejo);10,665
Universidad Carlos III de Madrid;Ciencias Sociales y Jurídicas;Economía (español o inglés);11,263
Universidad Carlos III de Madrid;Ciencias Sociales y Jurídicas;Empresa y Tecnología (en inglés);12,213
Universidad Carlos III de Madrid;Ciencias Sociales y Jurídicas;Estudios Internacionales (en inglés);12,063
Universidad Carlos III de Madrid;Ciencias Sociales y Jurídicas;Finanzas y Contabilidad (español o inglés);11,043
Universidad Carlos III de Madrid;Ciencias Sociales y Jurídicas;Gestión de la Informacion y Contenidos Digitales;9,836
Universidad Carlos III de Madrid;Ciencias Sociales y Jurídicas;Historia y Política (bilingüe);8,314
